2026-04-14T22:54:27.334676575Z [inf]  Starting Container
2026-04-14T22:54:44.824768126Z [wrn]  Vectorize not configured — skipping seed
2026-04-14T22:54:49.700540600Z [wrn]  SLOW_QUERY library_bundle took 1680ms (threshold=200.0ms)
2026-04-14T22:54:49.700546480Z [inf]  Library-bundle cache pre-warmed
2026-04-14T22:54:52.804732841Z [inf]  [migration] credits_limit heal: UPDATE 0
2026-04-14T22:55:22.871226229Z [inf]  [migration] Supabase→PG: processed 166 users, inserted 0 new rows
2026-04-14T22:59:32.931442639Z [inf]  cache_stats hit_rate=0.0 hits=0 misses=12 total=12
2026-04-14T22:59:39.159090293Z [inf]  cache_stats hit_rate=0.0 hits=0 misses=12 total=12
2026-04-14T22:59:40.137277654Z [wrn]  Cloudflare AI Gateway 401 auth error — falling back to direct URLs for 5 min: HTTPStatusError: Client error '401 Unauthorized' for url 'https://gateway.ai.cloudflare.com/v1/d66e40eac539fff1db270fddf384a5ec/syrabit/sarvam/v1/chat/completions'
For more information check: https://developer.mozilla
2026-04-14T22:59:41.562814980Z [inf]  llm_call provider=sarvam model=sarvam-m duration_ms=1441 tokens_approx=0
2026-04-14T23:04:41.350324780Z [inf]  cache_stats hit_rate=0.0 hits=0 misses=24 total=24
2026-04-14T23:04:41.573701749Z [wrn]  Cloudflare AI Gateway 401 auth error — falling back to direct URLs for 5 min: HTTPStatusError: Client error '401 Unauthorized' for url 'https://gateway.ai.cloudflare.com/v1/d66e40eac539fff1db270fddf384a5ec/syrabit/sarvam/v1/chat/completions'
For more information check: https://developer.mozilla
2026-04-14T23:04:42.965442292Z [inf]  llm_call provider=sarvam model=sarvam-m duration_ms=1411 tokens_approx=0
2026-04-14T23:04:50.068368784Z [inf]  cache_stats hit_rate=0.0 hits=0 misses=24 total=24
2026-04-14T23:09:50.305603317Z [wrn]  Cloudflare AI Gateway 401 auth error — falling back to direct URLs for 5 min: HTTPStatusError: Client error '401 Unauthorized' for url 'https://gateway.ai.cloudflare.com/v1/d66e40eac539fff1db270fddf384a5ec/syrabit/sarvam/v1/chat/completions'
For more information check: https://developer.mozilla
2026-04-14T23:09:50.305610417Z [inf]  llm_call provider=sarvam model=sarvam-m duration_ms=1453 tokens_approx=0
2026-04-14T23:09:50.305616207Z [inf]  cache_stats hit_rate=0.0 hits=0 misses=36 total=36
2026-04-14T23:10:10.060380540Z [inf]  cache_stats hit_rate=0.0 hits=0 misses=36 total=36
2026-04-14T23:14:50.085279892Z [wrn]  Cloudflare AI Gateway 401 auth error — falling back to direct URLs for 5 min: HTTPStatusError: Client error '401 Unauthorized' for url 'https://gateway.ai.cloudflare.com/v1/d66e40eac539fff1db270fddf384a5ec/syrabit/sarvam/v1/chat/completions'
For more information check: https://developer.mozilla
2026-04-14T23:14:50.085289302Z [inf]  llm_call provider=sarvam model=sarvam-m duration_ms=1394 tokens_approx=0
2026-04-14T23:14:59.870885381Z [inf]  cache_stats hit_rate=0.0 hits=0 misses=48 total=48
2026-04-14T23:15:19.872070069Z [inf]  cache_stats hit_rate=0.0 hits=0 misses=48 total=48
2026-04-14T23:19:50.088185698Z [wrn]  Cloudflare AI Gateway 401 auth error — falling back to direct URLs for 5 min: HTTPStatusError: Client error '401 Unauthorized' for url 'https://gateway.ai.cloudflare.com/v1/d66e40eac539fff1db270fddf384a5ec/syrabit/sarvam/v1/chat/completions'
For more information check: https://developer.mozilla
2026-04-14T23:19:50.088193158Z [inf]  llm_call provider=sarvam model=sarvam-m duration_ms=1403 tokens_approx=0
2026-04-14T23:20:19.824046663Z [inf]  cache_stats hit_rate=0.0 hits=0 misses=60 total=60
2026-04-14T23:20:23.083214942Z [inf]  cache_stats hit_rate=0.0 hits=0 misses=60 total=60
2026-04-14T23:24:52.922036298Z [wrn]  Cloudflare AI Gateway 401 auth error — falling back to direct URLs for 5 min: HTTPStatusError: Client error '401 Unauthorized' for url 'https://gateway.ai.cloudflare.com/v1/d66e40eac539fff1db270fddf384a5ec/syrabit/sarvam/v1/chat/completions'
For more information check: https://developer.mozilla
2026-04-14T23:24:52.922050088Z [inf]  llm_call provider=sarvam model=sarvam-m duration_ms=1424 tokens_approx=0
2026-04-14T23:25:32.923945509Z [inf]  cache_stats hit_rate=0.0 hits=0 misses=72 total=72
2026-04-14T23:25:35.164743371Z [inf]  cache_stats hit_rate=0.0 hits=0 misses=72 total=72
2026-04-14T23:29:55.190520232Z [wrn]  Cloudflare AI Gateway 401 auth error — falling back to direct URLs for 5 min: HTTPStatusError: Client error '401 Unauthorized' for url 'https://gateway.ai.cloudflare.com/v1/d66e40eac539fff1db270fddf384a5ec/syrabit/sarvam/v1/chat/completions'
For more information check: https://developer.mozilla
2026-04-14T23:29:55.190527922Z [inf]  llm_call provider=sarvam model=sarvam-m duration_ms=1399 tokens_approx=0
2026-04-14T23:30:45.192957167Z [inf]  cache_stats hit_rate=0.0 hits=0 misses=84 total=84
2026-04-14T23:30:47.210294101Z [inf]  cache_stats hit_rate=0.0 hits=0 misses=84 total=84
